"ACDT","Demand","Time","DSTTime","Year","Temp"
2020-03-16 06:00:00,1258,0.208333333333333,0.25,0.0296803652968037,14.75
2020-03-16 06:30:00,1337,0.229166666666667,0.270833333333333,0.0297374429223744,14.3
2020-03-16 07:00:00,1413,0.25,0.291666666666667,0.0297945205479452,16.95
2020-03-16 07:30:00,1496,0.270833333333333,0.3125,0.029851598173516,19.6
2020-03-16 08:00:00,1519,0.291666666666667,0.333333333333333,0.0299086757990868,20.2
2020-03-16 08:30:00,1431,0.3125,0.354166666666667,0.0299657534246575,20.8
2020-03-16 09:00:00,1326,0.333333333333333,0.375,0.0300228310502283,21.4
2020-03-16 09:30:00,1226,0.354166666666667,0.395833333333333,0.0300799086757991,22
2020-03-16 10:00:00,1114,0.375,0.416666666666667,0.0301369863013699,23.65
2020-03-16 10:30:00,1027,0.395833333333333,0.4375,0.0301940639269406,25.3
2020-03-16 11:00:00,950,0.416666666666667,0.458333333333333,0.0302511415525114,25.6
2020-03-16 11:30:00,884,0.4375,0.479166666666667,0.0303082191780822,25.9
2020-03-16 12:00:00,844,0.458333333333333,0.5,0.030365296803653,26.8
2020-03-16 12:30:00,825,0.479166666666667,0.520833333333333,0.0304223744292237,27.7
2020-03-16 13:00:00,866,0.5,0.541666666666667,0.0304794520547945,27.8
2020-03-16 13:30:00,887,0.520833333333333,0.5625,0.0305365296803653,27.9
2020-03-16 14:00:00,872,0.541666666666667,0.583333333333333,0.0305936073059361,27.9
2020-03-16 14:30:00,923,0.5625,0.604166666666667,0.0306506849315068,27.9
2020-03-16 15:00:00,952,0.583333333333333,0.625,0.0307077625570776,26.45
2020-03-16 15:30:00,993,0.604166666666667,0.645833333333333,0.0307648401826484,25
2020-03-16 16:00:00,1073,0.625,0.666666666666667,0.0308219178082192,25.95
2020-03-16 16:30:00,1105,0.645833333333333,0.6875,0.03087899543379,26.9
2020-03-16 17:00:00,1221,0.666666666666667,0.708333333333333,0.0309360730593607,26.7
2020-03-16 17:30:00,1337,0.6875,0.729166666666667,0.0309931506849315,26.5
2020-03-16 18:00:00,1459,0.708333333333333,0.75,0.0310502283105023,24.95
2020-03-16 18:30:00,1538,0.729166666666667,0.770833333333333,0.0311073059360731,23.4
2020-03-16 19:00:00,1639,0.75,0.791666666666667,0.0311643835616438,22.35
2020-03-16 19:30:00,1683,0.770833333333333,0.8125,0.0312214611872146,21.3
2020-03-16 20:00:00,1671,0.791666666666667,0.833333333333333,0.0312785388127854,20.95
2020-03-16 20:30:00,1659,0.8125,0.854166666666667,0.0313356164383562,20.6
2020-03-16 21:00:00,1614,0.833333333333333,0.875,0.0313926940639269,20.3
