"net_load","tempc","Time","DST","year","WtdTemp"
1179,15.7,0.520833333333333,0.479166666666667,0.212385844748858,17.42
1160,16.5,0.541666666666667,0.5,0.212442922374429,17.9
1135,16.2,0.5625,0.520833333333333,0.2125,17.72
1025,15.9,0.583333333333333,0.541666666666667,0.212557077625571,17.54
1015,15.95,0.604166666666667,0.5625,0.212614155251142,17.57
1093,16,0.625,0.583333333333333,0.212671232876712,17.6
1245,15.65,0.645833333333333,0.604166666666667,0.212728310502283,17.39
1379,15.3,0.666666666666667,0.625,0.212785388127854,17.18
1481,15.2,0.6875,0.645833333333333,0.212842465753425,17.12
1554,15.1,0.708333333333333,0.666666666666667,0.212899543378995,17.06
1631,15.15,0.729166666666667,0.6875,0.212956621004566,17.09
1720,15.2,0.75,0.708333333333333,0.213013698630137,16.8388225099391
1825,15.3,0.770833333333333,0.729166666666667,0.213070776255708,16.24
1853,15.4,0.791666666666667,0.75,0.213127853881279,15.6694617613084
1820,15.65,0.8125,0.770833333333333,0.213184931506849,15.65
1771,15.9,0.833333333333333,0.791666666666667,0.21324200913242,15.9271258573873
1736,15.95,0.854166666666667,0.8125,0.213299086757991,16.0566347469598
1681,16,0.875,0.833333333333333,0.213356164383562,16.2349568120783
1627,16.1,0.895833333333333,0.854166666666667,0.213413242009132,16.502422294273
1581,16.2,0.916666666666667,0.875,0.213470319634703,16.803298551345
1508,16.25,0.9375,0.895833333333333,0.213527397260274,17.0912769610084
1456,16.3,0.958333333333333,0.916666666666667,0.213584474885845,17.4047588340193
1393,16.3,0.979166666666667,0.9375,0.213641552511416,17.7059268937305
1538,16.3,0,0.958333333333333,0.213698630136986,18.0274332007964
1523,15.8,0.0208333333333333,0.979166666666667,0.213755707762557,18.1414804915139
1489,15.3,0.0416666666666667,0,0.213812785388128,18.355
1403,15.5,0.0625,0.0208333333333333,0.213869863013699,18.5566859673609
1349,15.7,0.0833333333333333,0.0416666666666667,0.213926940639269,18.7418308138755
1291,15.85,0.104166666666667,0.0625,0.21398401826484,18.8933424700547
1256,16,0.125,0.0833333333333333,0.214041095890411,19.0242640687119
1226,16.15,0.145833333333333,0.104166666666667,0.214098173515982,19.1326737011047
1198,16.3,0.166666666666667,0.125,0.214155251141553,19.2177531405438
1173,15.15,0.1875,0.145833333333333,0.214212328767123,19.0160212914933
